이름,연락처,성별,직렬,지역,나이,필기성적,조
임태현,010-7744-0243,남,경채,경북,29,229.3,
유다은,010-3635-0244,여,법무회계,세종,20,242.3,
강서준,010-3979-0245,남,일반,경기,28,232.6,
배서준,010-1076-0246,남,일반,대구,27,240.8,
서준서,010-4682-0247,남,경채,서울,28,180.8,
주민재,010-5823-0248,남,인사,충북,31,243.8,
고서윤,010-5980-0249,여,인사,경북,26,215.3,
윤태현,010-6486-0250,남,인사,전남,25,249.2,
우현수,010-9445-0251,남,경행,경북,22,,
전태현,010-7122-0252,남,경채,광주,25,,
차승현,010-1463-0253,남,경채,경북,29,185.0,
지예준,010-9537-0254,남,일반,경북,29,242.1,
김하영,010-6662-0255,여,경채,대구,31,224.5,4
하예은,010-3898-0256,여,사이버,대구,24,,
전준영,010-4283-0257,남,일반,경북,31,,
양하린,010-6754-0258,여,경채,대구,25,227.9,
황유준,010-4500-0259,남,일반,경북,21,239.1,
공건우,010-6307-0260,남,일반,경북,26,196.6,
윤우진,010-4699-0261,남,일반,경북,27,220.8,
서승민,010-5931-0262,남,사이버,대구,29,180.8,
권현우,010-3697-0263,남,사이버,대구,20,200.0,
방하은,010-5285-0264,여,일반,경북,29,,
채지연,010-1895-0265,여,경채,경북,22,,
지유나,010-4528-0266,여,인사,경북,23,240.2,5
엄동훈,010-5275-0267,남,법무회계,경북,28,,
지승현,010-7324-0268,남,101경비단,경북,26,186.6,
유민호,010-2574-0269,남,경행,대구,26,,
신하준,010-2162-0270,남,일반,경북,27,,
곽지민,010-1111-0271,여,경채,충북,25,221.3,
차시현,010-8013-0272,남,경채,강원,21,195.2,
원지후,010-7380-0273,남,사이버,경북,29,228.1,
방재원,010-7110-0274,남,일반,경북,30,,
최민준,010-4216-0275,남,일반,대구,28,239.8,
심민재,010-8796-0276,남,경행,대구,23,,
유예준,010-9461-0277,남,101경비단,대구,32,195.9,
윤승현,010-2566-0278,남,경채,대구,25,,
임재원,010-9159-0279,남,일반,광주,20,208.3,5
윤시은,010-1086-0280,여,일반,대구,23,181.7,
방영민,010-3212-0281,남,사이버,인천,21,186.5,
서시현,010-9661-0282,남,일반,대구,21,190.8,
최현우,010-3381-0283,남,일반,대구,21,222.5,
황채원,010-6653-0284,여,경채,경북,30,238.0,
남현우,010-9393-0285,남,사이버,경북,28,,
엄서연,010-4908-0286,여,일반,대구,31,218.2,
주영민,010-7831-0287,남,경채,강원,21,233.9,
전현우,010-8073-0288,남,법무회계,대구,21,207.0,
심현우,010-9430-0289,남,경행,경북,28,239.1,
엄지유,010-2452-0290,여,일반,울산,31,233.0,
장영민,010-4052-0291,남,사이버,경북,24,208.8,
원도현,010-2417-0292,남,일반,경북,25,219.3,
고시우,010-7030-0293,남,일반,경북,26,222.8,
심예준,010-8375-0294,남,경채,경북,26,180.8,
성예은,010-2300-0295,여,사이버,경북,28,242.0,
유태현,010-9432-0296,남,일반,경남,31,,
남주원,010-8757-0297,남,일반,인천,27,,
지영민,010-8662-0298,남,일반,경북,31,188.2,
남민준,010-7174-0299,남,사이버,광주,29,231.1,
진주원,010-1581-0300,남,일반,전남,31,233.5,
